id,ui,page,kind,element,type,reference,outcome,status,note
UI01.01,UI01,finance,control,CRM,button,,STATE,PASS,State: section Finance/ -> CRM/
UI01.02,UI01,finance,control,Finance,button,,NOOP,PASS,Current department; no action by design
UI01.03,UI01,finance,control,HR,button,,STATE,PASS,State: section Finance/ -> HR/Overview
UI01.04,UI01,finance,control,Inventory,button,,STATE,PASS,State: section Finance/ -> Inventory/
UI01.05,UI01,finance,control,Procurement,button,,STATE,PASS,State: section Finance/ -> Procurement/
UI01.06,UI01,finance,control,Sales,button,,STATE,PASS,State: section Finance/ -> Sales/
UI01.07,UI01,sales,control,CRM,button,,STATE,PASS,State: section Sales/ -> CRM/
UI01.08,UI01,sales,control,Finance,button,,STATE,PASS,State: section Sales/ -> Finance/
UI01.09,UI01,sales,control,HR,button,,STATE,PASS,State: section Sales/ -> HR/Overview
UI01.10,UI01,sales,control,Inventory,button,,STATE,PASS,State: section Sales/ -> Inventory/
UI01.11,UI01,sales,control,Procurement,button,,STATE,PASS,State: section Sales/ -> Procurement/
UI01.12,UI01,sales,control,Sales,button,,NOOP,PASS,Current department; no action by design
UI01.13,UI01,inventory,control,CRM,button,,STATE,PASS,State: section Inventory/ -> CRM/
UI01.14,UI01,inventory,control,Finance,button,,STATE,PASS,State: section Inventory/ -> Finance/
UI01.15,UI01,inventory,control,HR,button,,STATE,PASS,State: section Inventory/ -> HR/Overview
UI01.16,UI01,inventory,control,Inventory,button,,NOOP,PASS,Current department; no action by design
UI01.17,UI01,inventory,control,Procurement,button,,STATE,PASS,State: section Inventory/ -> Procurement/
UI01.18,UI01,inventory,control,Sales,button,,STATE,PASS,State: section Inventory/ -> Sales/
UI01.19,UI01,procurement,control,CRM,button,,STATE,PASS,State: section Procurement/ -> CRM/
UI01.20,UI01,procurement,control,Finance,button,,STATE,PASS,State: section Procurement/ -> Finance/
UI01.21,UI01,procurement,control,HR,button,,STATE,PASS,State: section Procurement/ -> HR/Overview
UI01.22,UI01,procurement,control,Inventory,button,,STATE,PASS,State: section Procurement/ -> Inventory/
UI01.23,UI01,procurement,control,Procurement,button,,NOOP,PASS,Current department; no action by design
UI01.24,UI01,procurement,control,Sales,button,,STATE,PASS,State: section Procurement/ -> Sales/
UI01.25,UI01,crm,control,CRM,button,,NOOP,PASS,Current department; no action by design
UI01.26,UI01,crm,control,Finance,button,,STATE,PASS,State: section CRM/ -> Finance/
UI01.27,UI01,crm,control,HR,button,,STATE,PASS,State: section CRM/ -> HR/Overview
UI01.28,UI01,crm,control,Inventory,button,,STATE,PASS,State: section CRM/ -> Inventory/
UI01.29,UI01,crm,control,Procurement,button,,STATE,PASS,State: section CRM/ -> Procurement/
UI01.30,UI01,crm,control,Sales,button,,STATE,PASS,State: section CRM/ -> Sales/
UI01.31,UI01,hr-overview,control,CRM,button,,STATE,PASS,State: section HR/Overview -> CRM/
